For M5|Adr 00001|PI1   A                   10001|X        1000.000 m   |Y        1000.000 m   |Z           1.000 m   | 
For M5|Adr 00002|TI       INPUT                 |th          1.510 m   |ih          1.672 m   |                      | 
For M5|Adr 00003|PI1                       10002|SD        194.500 m   |Hz        72.1952 DMS |V3        -0.5217 DMS | 
For M5|Adr 00004|PI1                           1|SD         15.930 m   |Hz       269.5115 DMS |V3         1.3434 DMS | 
For M5|Adr 00005|PI1                           2|SD         15.666 m   |Hz       274.3011 DMS |V3         1.4513 DMS | 
For M5|Adr 00006|PI1                           3|SD         15.918 m   |Hz       320.2438 DMS |V3        -1.0948 DMS | 
For M5|Adr 00007|PI1                           4|SD         18.675 m   |Hz       259.4447 DMS |V3         1.5511 DMS | 
For M5|Adr 00008|PI1                           5|SD          7.352 m   |Hz       197.2514 DMS |V3        -0.0727 DMS | 
For M5|Adr 00009|PI1                           6|SD         12.661 m   |Hz       196.0246 DMS |V3         1.2049 DMS | 
For M5|Adr 00010|PI1                           7|SD         20.718 m   |Hz       177.3528 DMS |V3         1.1706 DMS | 
For M5|Adr 00011|PI1                           8|SD         18.823 m   |Hz       161.1849 DMS |V3         1.0505 DMS | 
For M5|Adr 00012|PI1                           9|SD         18.664 m   |Hz       150.4906 DMS |V3         1.1943 DMS | 
For M5|Adr 00013|PI1                          10|SD         11.029 m   |Hz       151.3117 DMS |V3        -4.0205 DMS | 
For M5|Adr 00014|PI1                          11|SD         12.511 m   |Hz       142.0603 DMS |V3        -2.1912 DMS | 
For M5|Adr 00015|PI1                          12|SD          5.478 m   |Hz       243.1339 DMS |V3        -0.5432 DMS | 
For M5|Adr 00016|PI1                          13|SD          5.376 m   |Hz       269.0745 DMS |V3         1.0630 DMS | 
For M5|Adr 00017|PI1                          14|SD          2.466 m   |Hz       249.4102 DMS |V3        -5.3425 DMS | 
For M5|Adr 00018|PI1                          15|SD          2.234 m   |Hz       283.4915 DMS |V3         1.1612 DMS | 
For M5|Adr 00019|PI1                          16|SD         10.407 m   |Hz        92.5406 DMS |V3        -6.1536 DMS | 
For M5|Adr 00020|PI1                          17|SD         10.562 m   |Hz        83.4213 DMS |V3        -6.5821 DMS | 
For M5|Adr 00021|PI1                          18|SD         10.680 m   |Hz        37.5002 DMS |V3        -8.4052 DMS | 
For M5|Adr 00022|PI1                          19|SD         12.760 m   |Hz       117.2142 DMS |V3        -6.4429 DMS | 
For M5|Adr 00023|PI1                          20|SD         14.332 m   |Hz       121.5326 DMS |V3        -3.4010 DMS | 
For M5|Adr 00024|PI1                          21|SD         28.880 m   |Hz        91.3719 DMS |V3        -4.4636 DMS | 
For M5|Adr 00025|PI1                          22|SD         29.302 m   |Hz        88.2514 DMS |V3        -4.5158 DMS | 
For M5|Adr 00026|PI1                          23|SD         29.383 m   |Hz        70.1612 DMS |V3        -5.2443 DMS | 
For M5|Adr 00027|PI1                          24|SD         29.349 m   |Hz       100.0819 DMS |V3        -4.3816 DMS | 
For M5|Adr 00028|PI1                          25|SD         29.885 m   |Hz       103.4055 DMS |V3        -3.4340 DMS | 
For M5|Adr 00029|PI1                          26|SD         45.078 m   |Hz        90.5022 DMS |V3        -3.4215 DMS | 
For M5|Adr 00030|PI1                          27|SD         44.999 m   |Hz        84.5211 DMS |V3        -4.5649 DMS | 
For M5|Adr 00031|PI1                          28|SD         48.357 m   |Hz        70.3450 DMS |V3        -6.0054 DMS | 
For M5|Adr 00032|PI1                          29|SD         50.143 m   |Hz        85.2156 DMS |V3        -4.4117 DMS | 
For M5|Adr 00033|PI1                          30|SD         50.233 m   |Hz        89.0731 DMS |V3        -3.3750 DMS | 
For M5|Adr 00034|PI1                          31|SD         51.362 m   |Hz        89.4002 DMS |V3        -3.2255 DMS | 
For M5|Adr 00035|PI1                          32|SD         52.464 m   |Hz        88.4349 DMS |V3        -3.4047 DMS | 
For M5|Adr 00036|PI1                          33|SD         51.810 m   |Hz        88.4430 DMS |V3        -4.4000 DMS | 
For M5|Adr 00037|PI1                          34|SD         52.388 m   |Hz        85.4253 DMS |V3        -4.2118 DMS | 
For M5|Adr 00038|PI1                          35|SD         50.883 m   |Hz        84.2019 DMS |V3        -4.5813 DMS | 
For M5|Adr 00039|PI1                          36|SD         47.435 m   |Hz        97.0048 DMS |V3        -3.1919 DMS | 
For M5|Adr 00040|PI1                          37|SD         47.140 m   |Hz        98.5827 DMS |V3        -3.4546 DMS | 
For M5|Adr 00041|PI1                          38|SD         46.888 m   |Hz       102.4546 DMS |V3        -3.2621 DMS | 
For M5|Adr 00042|PI1                          39|SD         53.687 m   |Hz        96.4952 DMS |V3        -2.5734 DMS | 
For M5|Adr 00043|PI1                          40|SD         54.783 m   |Hz        96.4301 DMS |V3        -2.5220 DMS | 
For M5|Adr 00044|PI1                          41|SD         54.254 m   |Hz        97.2140 DMS |V3        -3.5037 DMS | 
For M5|Adr 00045|PI1                          42|SD         59.809 m   |Hz        95.3834 DMS |V3        -2.4343 DMS | 
For M5|Adr 00046|PI1                          43|SD         60.417 m   |Hz        96.4606 DMS |V3        -3.1559 DMS | 
For M5|Adr 00047|PI1                          44|SD         60.301 m   |Hz        98.3439 DMS |V3        -2.3322 DMS | 
For M5|Adr 00048|PI1                          45|SD         59.200 m   |Hz        90.1709 DMS |V3        -2.5930 DMS | 
For M5|Adr 00049|PI1                          46|SD         58.216 m   |Hz        86.3227 DMS |V3        -4.0416 DMS | 
For M5|Adr 00050|PI1                          47|SD         61.178 m   |Hz        73.2422 DMS |V3        -5.1821 DMS | 
For M5|Adr 00051|PI1                          48|SD         67.358 m   |Hz        82.5954 DMS |V3        -3.4853 DMS | 
